event_id,title,date_start,date_end,city,location_name,category,description,url
46717065,Atelier Broderie sur photos - au Mini-Lab / Le MHN fait le Mur,2026-02-18 14:00:00+00:00,2026-02-18 15:30:00+00:00,Lille,Maison Folie Moulins,,Le Musée propose de t'essayer à cet art du fil en redonnant vie et couleur à des photos d’archives du Musée !,
2130931,Reliquaire de la Passion,2026-02-20 11:30:00+00:00,2026-02-20 12:00:00+00:00,Lille,Cathédrale Notre-Dame de la Treille,,La Cathédrale de Lille expose le reliquaire du XIXe siècle dans lequel sont conservés les dites reliques de la Passion du Christ.,
60687537,"VERNISSAGE 27 Février 2026 - ""Pursuing the sublime"" par Yutaka Nakata - Choreography in Photography",2026-02-27 17:00:00+00:00,2026-02-27 20:00:00+00:00,Lille,Albedo Kitchen,,PURSUING THE SUBLIME - EXPOSITION PHOTOGRAPHIQUE - VERNISSAGE 27 FÉVRIER,
23862816,"A priori, on se trompe ?",2026-03-03 13:00:00+00:00,2026-03-03 17:00:00+00:00,Lille,Médiathèque de Lille Sud,,"Exposition photo par l'association ""Du vent dans les mots"" à la médiathèque, pour dénoncer les préjugés racistes.",
59093940,L’hybride immersif｜ABYSSES - Échos des océans,2026-03-07 09:00:00+00:00,2026-03-07 22:00:00+00:00,Lille,L'hybride,,L'hybride présente un programme de video mapping immersif pour plonger au cœur des océans...,
35246787,L’hybride immersif｜Spécial Kids : Les nouvelles Fables de La Fontaine,2026-03-07 09:00:00+00:00,2026-03-07 22:00:00+00:00,Lille,L'hybride,,L'hybride présente un programme de video mapping immersif pour découvrir les célèbres fables de La Fontaine... autrement !,
70499669,"Exposition - Mobilis in mobile - Frederic Le Junter, Manival, Philippe Le Gall",2026-03-12 13:30:00+00:00,2026-03-12 20:00:00+00:00,Lille,Centre d'Arts Plastiques et Visuels,,"Du 12 mars au 11 avril 2026, Venez découvrir l'exposition Mobilis in mobile au CAPV !",
91472347,Stage adulte - Le graphisme libre,2026-03-13 17:00:00+00:00,2026-03-13 20:00:00+00:00,Lille,Centre d'Arts Plastiques et Visuels,,Initiez-vous aux logiciels gratuits Gimp et Inkscape !,
71297023,Atelier Feutrage à l'aiguille,2026-03-14 14:00:00+00:00,2026-03-14 16:00:00+00:00,Lille,médiathèque de Moulins,,Deux ateliers pour apprendre à créer des personnages ou autres objets à partir de laine cardée et d'une aiguille.,
28153163,"Cinétique, par l'artiste MEDE",2026-03-17 13:00:00+00:00,2026-03-17 17:00:00+00:00,Lille,Médiathèque Saint Maurice Pellevoisin,,Une exposition dédiée à la bande-dessinée et au manga.,
60795794,Création d’instruments de musique recyclés et recyclables / Atelier participatif autour des tapis sensoriels,2026-03-19 13:00:00+00:00,2026-03-19 15:00:00+00:00,Lille,La fabrique du sud,,Dans le cadre de la semaine de la petite enfance,
48953298,"Visite ""Happy hour"" : Lille à la loupe",2026-03-19 16:30:00+00:00,2026-03-19 17:15:00+00:00,Lille,"Devant la Chambre de Commerce et d'Industrie, place du Théâtre",,Levez-vous la tête lorsque vous vous promenez dans le Vieux-Lille ?,
